pair_id,option_a,option_b,option_a_share_balanced,preference_strength,majority_option,n
taste_sweet_bitter,sweet,bitter,0.9063805970149253,0.8127611940298507,sweet,802
texture_smooth_rough,smooth,rough,0.8830845771144279,0.7661691542288558,smooth,804
sound_loud_quiet,loud,quiet,0.12907557409206513,0.7418488518158697,quiet,804
motion_fast_slow,fast,slow,0.8647642679900744,0.7295285359801489,fast,806
direction_up_down,up,down,0.824731800056788,0.6494636001135761,up,805
terrain_mountain_valley,mountain,valley,0.8190476778351152,0.6380953556702305,mountain,805
time_early_late,early,late,0.8143411330049262,0.6286822660098523,early,806
temperature_warm_cold,warm,cold,0.8119453612027869,0.6238907224055739,warm,809
abstract_simple_complex,simple,complex,0.7860804991971975,0.5721609983943949,simple,811
color_blue_red,blue,red,0.744346656887911,0.48869331377582204,blue,809
density_light_heavy,light,heavy,0.7397753643367678,0.47955072867353565,light,804
time_morning_evening,morning,evening,0.7327815019196819,0.4655630038393639,morning,805
object_candle_lamp,candle,lamp,0.2698019801980198,0.46039603960396036,lamp,808
abstract_narrow_wide,narrow,wide,0.27157445853439566,0.4568510829312087,wide,801
shape_circle_square,circle,square,0.7111085177996708,0.42221703559934154,circle,807
nature_river_forest,river,forest,0.294103556292611,0.41179288741477804,forest,807
sound_sharp_mellow,sharp,mellow,0.29735660847880296,0.40528678304239407,mellow,801
object_cup_plate,cup,plate,0.6480099502487562,0.29601990049751237,cup,804
texture_soft_hard,soft,hard,0.645519801980198,0.29103960396039597,soft,804
weather_humid_dry,humid,dry,0.3716011526525787,0.2567976946948426,dry,806
weather_windy_still,windy,still,0.3757617235107719,0.24847655297845617,still,800
material_glass_stone,glass,stone,0.41657248851436013,0.16685502297127974,stone,807
direction_left_right,left,right,0.42162125641844583,0.15675748716310833,right,807
material_wood_metal,wood,metal,0.5778952631384023,0.15579052627680468,wood,805
object_key_coin,key,coin,0.5480369997297496,0.09607399945949924,key,807
size_small_large,small,large,0.4538388049331249,0.09232239013375021,large,803
taste_salty_sour,salty,sour,0.5419504720785102,0.08390094415702043,salty,803
color_yellow_gray,yellow,gray,0.5408728179551122,0.08174563591022443,yellow,801
color_green_purple,green,purple,0.5175371287128713,0.03507425742574255,green,804
shape_triangle_oval,triangle,oval,0.499200441135925,0.0015991177281500235,oval,808
